userName,score,at,content
dedi donat,5,2025-04-24 15:24:44,aplikasi sangat membantu untuk kebutuhan rumah tanpa ribet tanpa parkir tapi untuk membeli pulsa di sini saya selalu hindari karena jika gagal pengajuan pengembalian saldo ke rekening sangat lama
Raissa Nadhira,1,2025-04-24 13:45:08,"sudah buat 2 akun,dua2 nya tidak masuk dengan keterangan akun sudah di tutup,ga ngerti tiba2 di tutup dan ga bisa masuk,ga bisa juga hapus akun sangat mengexewakan"
ferliana Candy,2,2025-04-24 10:11:56,"Awalnya sih seneng bagus pelayanan, produk lengkap jg tp kesini makin ga bagus pelayanan, pesenan kurang trus pas pesen lg dikirim item lain ga sesuai dan Ga konfirmasi dulu.. padahal buat ningkatin penjualan mereka hrs nya pelayanan jg dinomor satukan Tolong diperbaiki pelayanan nya mulai dr kasir dan jg kurir harus selalu dicek sebelum kirim brg dan selalu konfirmasi kpd pembeli jk item kosong jgn asal ganti gitu saja"
kangmas aji sanjaya,3,2025-04-24 10:11:43,Entah kenapa barusan habis update aplikasi malah ngehang. keluar keluar sendiri. Padahal baru klik dan bel muncul tampilan menu tiba tiba keluar aplikasi
Nur Fadillah,1,2025-04-24 09:16:26,"sangat jelekkkkk pengiriman sangat lamaa bukan hanya sekali dua kali TPI berkali-kali padahal rumah dekat dari Alfamart TPI pengiriman sangat lamaa, paling cepat 2 jam baru di kirim"
Zhara Chan,5,2025-04-24 06:22:56,"Aku kasih bintang 5 karena belanja di Alfagift sangat memudahkan. Aplikasinya mudah dipakai, promonya banyak, paling sering belanja pakai Voucher potongan, Harga spesial, Promo Gratis Produk & Tebus murah. Pilihan metode pembayarannya juga banyak & bisa pilih waktu pengiriman agar bisa di sesuaiin sm jadwal kita dirumah. btw ada game seru juga loh di aplikasinya👍😍 Love bgt deh sm Alfagift❤ Harapannya moga makin banyak promo, banyak fitur & Makin Bebas Belanja makin banyak untungnya kedepannya"
Adinda Putri Rosyidah,5,2025-04-24 05:50:40,"bintang 5 nih buat alfagift, karena aplikasi ini bener-bener ngebantu banget buat aku yg dirumah punya bayi dan balita apalagi sering tiba-tiba butuh barangnya bisa langsung dateng, mana gercep datengnya. sering juga loh dapat voucher belanja jadi makin hemat deh. duh makasih banget ya alfagift sukses terus buat aplikasinya.."
Unknown Human,4,2025-04-24 03:43:02,"lebih better app Indomaret soalnya pesen 2 makanan kucing tapi yang satunya harus nunggu katanya 3 harian (itupun belum pasti), dan sampai sekarang harus masih nunggu 😐"
Ria Ning Astri,5,2025-04-23 20:07:33,"saya sering belanja di alfa dekat rumah beli jajan ataupun kebutuhan bayi, dan sering dapat promo, alhamdulillah. bagi IRT belanja dapat promo aja udah senang banget, terima kasih alfa, sukses 😄"
S maysa,1,2025-04-23 15:21:05,buset 3 hari belum dikirim juga..pembayaran sengaja transfer biar cepat ternyata lambat juga..di chtt jawaban ketus ..kite kan cuma nanya karna diaplikasi pengiriman sudah diterima
Muhammad Bagus Firisky Adeputra fabludiansyah,1,2025-04-23 11:59:21,"Baru download mau login aja susah..ga masuk masuk..ini bug apa gimana sih..tolong Developer di benerin nih apk!! tolong ini aplikasi blum selesai bug nya.bagaimana sih ,,ini hp gw itel s23plus ga bisa buka aplikasi ini..gimna saya mau cek poin saya kalau aplikasi ini aja ga bisa di buka😒,sudah berulang kali download masih ga bisa dibuka.. di chat di Instagram malah AI pelayanan alfagift paling buruk sedunia anjj"
Aning Nafisah,5,2025-04-23 08:11:30,pertama kali coba cepet deliverynya. gratis ongkir juga. tapi tolong tambah fungsi tipping untuk pengantar. kalau kalau ada rejeki lebih dan ingin memberi tip. terimakkasih... oh iya apknya saat pembayaraa menggunakan va bca terjadi delay 20 menitan. mohon diperbaiki karena saya jadi makin ovt apalagi pas dalam kondisi yang tidak baik begini. terimakasih
Rika Susanti,5,2025-04-23 06:48:51,"Aku kasi bintang 5 di alfagift, karena belanja untung dengan program tebus murah. Alfagift memberikan kemudahan dalam berbelanja bebas ongkir sampai di depan rumah. Dengan bnyak penawaran program seperti tebus murah, jsm dan masih banyak lainnya. Semoga alfagift selalu memberikan banyak program mudah dan untung bagi konsumen. belanja hemat, murah dan mudah hanya di alfagift dengan banyak diskon yang melimpah. Terimakasih alfagift semoga selalu menjadi aplikasi belanja yang terbaik."
Hanifah,5,2025-04-23 06:11:03,"udah 2x belanja pakai alfagift. yang pertama diantar kurir, berapa pun belanjaannya diantar sampai rumah. yang kedua pick up di alfamart dan udah disiapin sama petugasnya juga. alfagift sangat memudahkan, banyak promo2 murah. dan bisa ditambah lagi ya produk + promonya supaya lebih lengkap 🫶"
Yaya,1,2025-04-23 04:05:39,"pengiriman gak bisa dibatalin kalo lama, lamaaa bgt ngirim. prnh smpe 3 jam ga sampe sampe padahal milih yang maksimal 1jam. pengoperasian nya ga baik. klo pengiriman ngaret mending gausa ada, ga punya pegawai yang khusus nanganin atau gimana? sampe sampe keteteran"
